{'loss': 0.2201, 'grad_norm': 1.3679319620132446, 'learning_rate': 3.8964e-05, 'epoch': 1.1}
{'loss': 0.208, 'grad_norm': 1.1531331539154053, 'learning_rate': 3.8884e-05, 'epoch': 1.11}
{'loss': 0.1874, 'grad_norm': 1.0917596817016602, 'learning_rate': 3.8804e-05, 'epoch': 1.12}
{'loss': 0.1986, 'grad_norm': 1.297716498374939, 'learning_rate': 3.8724e-05, 'epoch': 1.13}
{'loss': 0.2168, 'grad_norm': 1.5504041910171509, 'learning_rate': 3.8644000000000005e-05, 'epoch': 1.14}
{'loss': 0.2303, 'grad_norm': 1.2441977262496948, 'learning_rate': 3.8564e-05, 'epoch': 1.14}
{'loss': 0.1922, 'grad_norm': 0.7694995403289795, 'learning_rate': 3.8484000000000006e-05, 'epoch': 1.15}
{'loss': 0.1962, 'grad_norm': 1.439361810684204, 'learning_rate': 3.8404e-05, 'epoch': 1.16}
{'loss': 0.203, 'grad_norm': 1.5037634372711182, 'learning_rate': 3.8324e-05, 'epoch': 1.17}
{'loss': 0.2102, 'grad_norm': 1.1351689100265503, 'learning_rate': 3.8244e-05, 'epoch': 1.18}
{'loss': 0.1853, 'grad_norm': 0.7972544431686401, 'learning_rate': 3.8164e-05, 'epoch': 1.18}
{'loss': 0.1898, 'grad_norm': 1.1169209480285645, 'learning_rate': 3.8084e-05, 'epoch': 1.19}
{'loss': 0.1867, 'grad_norm': 0.9224081635475159, 'learning_rate': 3.8004000000000004e-05, 'epoch': 1.2}
{'loss': 0.1815, 'grad_norm': 1.3983978033065796, 'learning_rate': 3.7924000000000005e-05, 'epoch': 1.21}
{'loss': 0.2302, 'grad_norm': 1.601366400718689, 'learning_rate': 3.7844e-05, 'epoch': 1.22}
{'loss': 0.1889, 'grad_norm': 1.003233551979065, 'learning_rate': 3.7764e-05, 'epoch': 1.22}
{'loss': 0.2006, 'grad_norm': 1.5643184185028076, 'learning_rate': 3.7684e-05, 'epoch': 1.23}
{'loss': 0.2184, 'grad_norm': 2.0981264114379883, 'learning_rate': 3.7604e-05, 'epoch': 1.24}
{'loss': 0.198, 'grad_norm': 0.8778324127197266, 'learning_rate': 3.7524e-05, 'epoch': 1.25}
{'loss': 0.2028, 'grad_norm': 0.7279438972473145, 'learning_rate': 3.7444e-05, 'epoch': 1.26}
{'loss': 0.1998, 'grad_norm': 1.6408239603042603, 'learning_rate': 3.7364000000000003e-05, 'epoch': 1.26}
{'loss': 0.185, 'grad_norm': 0.992012619972229, 'learning_rate': 3.7284000000000004e-05, 'epoch': 1.27}
{'loss': 0.2387, 'grad_norm': 1.1298279762268066, 'learning_rate': 3.7204e-05, 'epoch': 1.28}
{'loss': 0.1893, 'grad_norm': 1.7992326021194458, 'learning_rate': 3.7124000000000006e-05, 'epoch': 1.29}
{'loss': 0.1836, 'grad_norm': 1.3809033632278442, 'learning_rate': 3.7044e-05, 'epoch': 1.3}
{'loss': 0.1927, 'grad_norm': 1.6559727191925049, 'learning_rate': 3.696400000000001e-05, 'epoch': 1.3}
{'loss': 0.2265, 'grad_norm': 1.5408837795257568, 'learning_rate': 3.6884e-05, 'epoch': 1.31}
{'loss': 0.1912, 'grad_norm': 1.1115416288375854, 'learning_rate': 3.6804e-05, 'epoch': 1.32}
{'loss': 0.238, 'grad_norm': 1.5810868740081787, 'learning_rate': 3.6724e-05, 'epoch': 1.33}
{'loss': 0.1882, 'grad_norm': 1.5522340536117554, 'learning_rate': 3.6644000000000004e-05, 'epoch': 1.34}
{'loss': 0.2199, 'grad_norm': 1.767854928970337, 'learning_rate': 3.6564000000000004e-05, 'epoch': 1.34}
{'loss': 0.1652, 'grad_norm': 1.2794625759124756, 'learning_rate': 3.6484e-05, 'epoch': 1.35}
{'loss': 0.2307, 'grad_norm': 1.6329408884048462, 'learning_rate': 3.6404e-05, 'epoch': 1.36}
{'loss': 0.1939, 'grad_norm': 1.2044463157653809, 'learning_rate': 3.6324e-05, 'epoch': 1.37}
{'loss': 0.2207, 'grad_norm': 1.7640669345855713, 'learning_rate': 3.6244e-05, 'epoch': 1.38}
{'loss': 0.2048, 'grad_norm': 1.0673125982284546, 'learning_rate': 3.6164e-05, 'epoch': 1.38}
{'loss': 0.2353, 'grad_norm': 1.2839847803115845, 'learning_rate': 3.6084e-05, 'epoch': 1.39}
{'loss': 0.1979, 'grad_norm': 1.788243055343628, 'learning_rate': 3.6004e-05, 'epoch': 1.4}
{'loss': 0.2132, 'grad_norm': 0.6477595567703247, 'learning_rate': 3.5924000000000004e-05, 'epoch': 1.41}
{'loss': 0.2, 'grad_norm': 1.102817177772522, 'learning_rate': 3.5844e-05, 'epoch': 1.42}
{'loss': 0.2411, 'grad_norm': 1.2950838804244995, 'learning_rate': 3.5764000000000005e-05, 'epoch': 1.42}
{'loss': 0.2187, 'grad_norm': 1.3055464029312134, 'learning_rate': 3.5684e-05, 'epoch': 1.43}
{'loss': 0.2374, 'grad_norm': 1.4189362525939941, 'learning_rate': 3.560400000000001e-05, 'epoch': 1.44}
{'loss': 0.1949, 'grad_norm': 1.1861622333526611, 'learning_rate': 3.5524e-05, 'epoch': 1.45}
{'loss': 0.1977, 'grad_norm': 1.1770873069763184, 'learning_rate': 3.5444e-05, 'epoch': 1.46}
{'loss': 0.1788, 'grad_norm': 1.2309144735336304, 'learning_rate': 3.5364e-05, 'epoch': 1.46}
{'loss': 0.229, 'grad_norm': 1.206918716430664, 'learning_rate': 3.5284e-05, 'epoch': 1.47}
{'loss': 0.222, 'grad_norm': 1.3600730895996094, 'learning_rate': 3.5204000000000004e-05, 'epoch': 1.48}
{'loss': 0.2, 'grad_norm': 1.236297607421875, 'learning_rate': 3.5124000000000005e-05, 'epoch': 1.49}
{'loss': 0.1736, 'grad_norm': 0.9275661110877991, 'learning_rate': 3.5044e-05, 'epoch': 1.5}
{'loss': 0.1734, 'grad_norm': 1.1810418367385864, 'learning_rate': 3.4964e-05, 'epoch': 1.5}
{'loss': 0.1943, 'grad_norm': 1.3695534467697144, 'learning_rate': 3.4884e-05, 'epoch': 1.51}
{'loss': 0.2414, 'grad_norm': 2.620314836502075, 'learning_rate': 3.4804e-05, 'epoch': 1.52}
{'loss': 0.1936, 'grad_norm': 0.9663674235343933, 'learning_rate': 3.4724e-05, 'epoch': 1.53}
{'loss': 0.1772, 'grad_norm': 0.7367777228355408, 'learning_rate': 3.4644e-05, 'epoch': 1.54}
{'loss': 0.2136, 'grad_norm': 1.3564660549163818, 'learning_rate': 3.4564e-05, 'epoch': 1.54}
{'loss': 0.1883, 'grad_norm': 1.1692966222763062, 'learning_rate': 3.4484e-05, 'epoch': 1.55}
